Time(s),smooth_qw,smooth_qx,smooth_qy,smooth_qz,ax,ay,az,gx,gy,gz,mx,my,mz,lx,ly,lz
1.787207,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4727,-2.3477,-0.6523,-0.0293,0.0098,0.0195,23.1875,-22.0,-16.875,0.043,0.082,-0.0352
1.793601,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4922,-2.3359,-0.6719,-0.0293,0.0098,0.0195,22.875,-21.3125,-16.4375,0.043,0.082,-0.0352
1.804147,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4922,-2.3359,-0.6719,-0.0293,0.0098,0.0195,22.9375,-19.125,-15.9375,-0.1094,0.0195,-0.0664
1.809329,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.5156,-2.4023,-0.6133,-0.0293,0.0098,0.0195,23.25,-21.3125,-16.4375,-0.1094,0.0195,-0.0664
1.821931,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.5547,-2.3281,-0.5781,-0.0293,0.0098,0.0195,23.25,-21.3125,-16.4375,-0.1094,0.0195,-0.0664
1.825403,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.5234,-2.3555,-0.5859,-0.0293,0.0098,0.0195,23.25,-21.3125,-16.4375,-0.1484,0.0781,-0.0234
1.864449,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4766,-2.4023,-0.5859,-0.0293,0.0098,0.0195,23.25,-21.3125,-16.4375,-0.1484,0.0781,-0.0234
1.867878,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.457,-2.4609,-0.5273,-0.0293,0.0098,0.0195,23.25,-21.3125,-16.4375,-0.1484,0.0781,-0.0234
1.872779,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3945,-2.5078,-0.5859,-0.0293,0.0098,0.0195,23.25,-21.3125,-16.4375,0.0312,-0.1172,-0.0156
1.893303,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3594,-2.5586,-0.6328,-0.0293,0.0098,0.0195,23.25,-21.3125,-16.4375,0.0312,-0.1172,-0.0156
